"brand","screen_tech","screensize","energy_consumpt","star2","count"
"chiq","LCD (LED)","97.0",1233,4,1
"chiq","LCD (LED)","98.0",1233,4,1
"concentric care","LCD (LED)","24.0",110,3.5,1
"devanti","LCD (LED)","32.0",101,6,1
"devanti","LCD (LED)","39.0",182,5,1
"devanti","LCD (LED)","50.0",276,5,1
"devanti","LCD (LED)","65.0",474.5,4.75,2
"devanti","LCD (LED)","75.0",760,4,1
"dgtec","LCD","39.0",149,6,1
"dgtec","LCD","55.0",256,6,1
"dgtec","LCD (LED)","55.0",251,6,1
"dgtec","LCD (LED)","65.0",366.5,6,2
"dynalink","LCD","24.0",76,5.5,1
"eko","LCD","24.0",78,5,1
"eko","LCD (LED)","24.0",90,4.5,2
"eko","LCD","31.0",130,5,1
"eko","LCD","32.0",124.5,5.25,2
"eko","LCD (LED)","32.0",129.77777777777777,4.888888888888889,9
"eko","LCD","40.0",182.33333333333334,5,3
"eko","LCD (LED)","40.0",189.25,4.875,4
"eko","LCD (LED)","41.0",230,4.5,2
"eko","LCD","42.0",260,3.5,1
"eko","LCD (LED)","42.0",220.5,4.5,4
"eko","LCD","43.0",191,5.5,1
"eko","LCD (LED)","43.0",212,5,1
"eko","LCD","46.0",245,5,1
"eko","LCD","49.0",376,3.5,1
"eko","LCD (LED)","49.0",273,5,1
"eko","LCD (LED)","50.0",304.4,4.6,5
"eko","LCD","55.0",363.875,4.500000000000001,8
"eko","LCD (LED)","55.0",356.14285714285717,4.857142857142858,7
"eko","OLED","55.0",275,5.5,1
"eko","LCD (LED)","57.0",298,6,1
"eko","LCD","58.0",346,5,1
"eko","LCD (LED)","58.0",367.5,4.75,2
"eko","LCD","64.0",725,3,1
"eko","LCD","65.0",612.8333333333333,3.75,6
"eko","LCD (LED)","65.0",491.90000000000003,4.65,10
"eko","LCD (LED)","69.0",640,4,1
"eko","LCD","70.0",561.6666666666666,4.666666666666667,3
"eko","LCD (LED)","70.0",670.6666666666666,3.8333333333333335,3
"eko","LCD","75.0",750.6666666666666,4,6
"eko","LCD (LED)","75.0",697,4.375,4
"eko","LCD (LED)","85.0",1116,3,1
"elitelux","LCD (LED)","58.0",343,5,1
"englaon","LCD (LED)","22.0",102,4,1
"englaon","LCD (LED)","24.0",90.33333333333333,4.722222222222222,9
"englaon","LCD (LED)","30.0",158,4,3
"englaon","LCD (LED)","32.0",152.25,4.375,4
"englaon","LCD (LED)","34.0",175,4.5,3
"englaon","LCD (LED)","40.0",140,6,3
"ffalcon","LCD (LED)","31.0",104.5,5.75,2
"ffalcon","LCD (LED)","39.0",162,5.5,2
"ffalcon","LCD (LED)","42.0",169.5,5.875,4
"ffalcon","LCD (LED)","49.0",198,6,3
"ffalcon","LCD (LED)","55.0",226.66666666666666,6.333333333333333,3
"ffalcon","LCD (LED)","64.0",299.25,6.5,4
"ffalcon","LCD (LED)","75.0",470,5.833333333333333,3
"furrion","LCD","24.0",102.5,4.25,2
"furrion","LCD (LED)","24.0",101.5,4.25,2
"gorilla","LCD (LED)","31.0",104,6,1
"gorilla","LCD (LED)","32.0",101,6,1
"gorilla","LCD (LED)","39.0",182,5,1
"gorilla","LCD (LED)","41.0",160,6,1
"gorilla","LCD (LED)","43.0",200,5,1
"gorilla","LCD (LED)","55.0",300,5.5,1
"hisense","LCD (LED)","100.0",942,5.5,5
"hisense","LCD (LED)","32.0",97.71428571428571,6,7
"hisense","LCD (LED)","40.0",128.28571428571428,6.571428571428571,7
"hisense","LCD (LED)","42.0",229,4.5,3
"hisense","LCD (LED)","43.0",240.11111111111111,4.4444444444444455,9
"hisense","LCD (LED)","49.0",212,6,1
"hisense","LCD (LED)","50.0",259.375,5.4375,8
"hisense","LCD (LED)","55.0",353.7941176470588,4.838235294117648,34
"hisense","OLED","55.0",319,5,1
"hisense","LCD (LED)","58.0",316.75,5.75,4
"hisense","LCD (LED)","64.0",464,5,3
"hisense","LCD","65.0",638,3.5,1
"hisense","LCD (LED)","65.0",507.85365853658544,4.634146341463415,41
"hisense","OLED","65.0",414,5.5,2
"hisense","LCD (LED)","70.0",424.83333333333337,6,6
"hisense","LCD (LED)","75.0",630.575,4.8625,40
"hisense","LCD (LED)","85.0",806.7419354838712,4.838709677419355,31
"hisense","LCD (LED)","98.0",1028,5,3
"hitachi","LCD","31.0",104,6,1
"hitachi","LCD","32.0",105,6,1
"hitachi","LCD","40.0",151,6,1
"hitachi","LCD (LED)","41.0",160,6,1
"hitachi","LCD (LED)","49.0",226,6,1
"hitachi","LCD (LED)","55.0",271,6,1
"hitachi","LCD","57.0",298,6,1
"hitachi","LCD (LED)","65.0",370,6,1
"hitachi","LCD","74.0",485,6,1
"hubbl","LCD (LED)","65.0",240,7,1
"hubbl glass","LCD (LED)","43.0",200,5,1
"hubbl glass","LCD (LED)","55.0",240,6,1
"hyundai","LCD (LED)","50.0",251.5,5.5,2
"hyundai","LCD (LED)","55.0",268,6,1
"hyundai","LCD (LED)","65.0",373,6,1
"hyundai","LCD (LED)","75.0",613.5,5,2
"iluma","LCD","24.0",112,3.5,7
"iluma","LCD","32.0",119,5,7
"jvc","LCD (LED)","24.0",70,5.5,1
"jvc","LCD","31.0",130,5,1
"jvc","LCD (LED)","31.0",117,5.5,2
"jvc","LCD","32.0",119.4,5.3,5
"jvc","LCD (LED)","32.0",125.83333333333333,5,6
"jvc","LCD (LED)","39.0",148,6,1
"jvc","LCD","40.0",186,5,1
"jvc","LCD (LED)","40.0",204.5,4.625,4
"jvc","LCD","41.0",230,4.5,1
"jvc","LCD","42.0",214.2,4.9,5
"jvc","LCD (LED)","42.0",209,5,3
"jvc","LCD","43.0",196,5,1
"jvc","LCD","49.0",347.5,3.875,4
"jvc","LCD (LED)","49.0",237.5,5.5,2
"jvc","LCD","50.0",374,3.5,1
"jvc","LCD (LED)","50.0",225.33333333333334,5.666666666666667,3
"jvc","LCD","54.0",375,4.5,2
"jvc","LCD","55.0",396.4,4.1,5
"jvc","LCD (LED)","55.0",279.2727272727273,5.590909090909091,11
"jvc","LCD","57.0",468,4,1
"jvc","LCD (LED)","57.0",468,4,1
"jvc","LCD (LED)","58.0",357,5,1
"jvc","LCD","64.0",512,4.5,3
"jvc","LCD (LED)","64.0",456,5,9
"jvc","LCD (LED)","65.0",430,5,1
"jvc","LCD","74.0",811,3.5,1
"jvc","LCD (LED)","74.0",758,4,1
"jvc","LCD (LED)","75.0",454.3333333333333,6,3
"jvc","LCD (LED)","98.0",872,5.5,1
"kodak","LCD","32.0",90,6,1
"kodak","LCD","39.0",150,6,1
"kodak","LCD","55.0",256,6,1
"kodak","LCD","64.0",358,6,1
"kodak","LCD (LED)","65.0",367,6,1
"kogan","LCD (LED)","100.0",1497,3.5,7
"kogan","OLED","100.0",1670,3,4
"kogan","LCD","19.0",62,5,1
"kogan","LCD (LED)","19.0",62,5,3
"kogan","LCD","22.0",95,3.5,5
"kogan","LCD","24.0",88.92857142857143,4.714285714285714,14
"kogan","LCD (LED)","24.0",78.75862068965516,5.2586206896551735,29
"kogan","LCD (LED)","31.0",116.60000000000001,5.499999999999998,25
"kogan","LCD","32.0",131,5,7
"kogan","LCD (LED)","32.0",128.68421052631578,5,19
"kogan","LCD (LED)","39.0",148.60000000000002,6,20
"kogan","LCD (LED)","40.0",165.79999999999998,5.533333333333334,15
"kogan","LCD (LED)","41.0",176.85714285714283,5.642857142857143,14
"kogan","LCD","42.0",240,4.5,1
"kogan","LCD (LED)","42.0",244.19354838709677,4.387096774193549,31
"kogan","LCD (LED)","43.0",200.91666666666666,5.166666666666667,12
"kogan","OLED","48.0",331,4,6
"kogan","LCD","49.0",313,4.5,1
"kogan","LCD (LED)","49.0",294.3611111111112,4.763888888888889,36
"kogan","LCD (LED)","50.0",303.99999999999994,4.693548387096775,31
"kogan","LCD","55.0",415,4,1
"kogan","LCD (LED)","55.0",335.73239436619707,5.014084507042254,71
"kogan","OLED","55.0",384.57142857142856,4.428571428571429,7
"kogan","LCD (LED)","57.0",448,4,1
"kogan","LCD (LED)","58.0",336.0833333333333,5.375,12
"kogan","LCD","60.0",405,5,6
"kogan","LCD","64.0",477,4.75,2
"kogan","LCD (LED)","64.0",457.9166666666667,5.055555555555555,36
"kogan","LCD (LED)","65.0",470.0652173913043,4.945652173913046,46
"kogan","OLED","65.0",477.14285714285717,4.857142857142857,7
"kogan","LCD (LED)","69.0",532,5,2
"kogan","LCD","70.0",515,5,1
"kogan","LCD (LED)","70.0",585.4999999999999,4.6000000000000005,20
"kogan","LCD","75.0",667,4.5,1
"kogan","LCD (LED)","75.0",618.9827586206897,4.8793103448275845,58
"kogan","OLED","77.0",540,5.5,4
"kogan","LCD (LED)","81.0",793,4.25,2
"kogan","LCD (LED)","85.0",986.7619047619047,3.9523809523809526,21
"kogan","LCD (LED)","86.0",1117,3.5,5
"kogan","LCD (LED)","97.0",1233,4,1
"kogan","LCD (LED)","98.0",1233,4,11
"konka","LCD (LED)","32.0",131,5,2
"konka","LCD (LED)","40.0",189,5,2
"konka","LCD (LED)","50.0",285,5,2
"konka","LCD (LED)","55.0",341,5,2
"lad","LCD (LED)","43.0",199,5,1
"lg","LCD (LED)","24.0",95,4.5,1
"lg","LCD (LED)","28.0",95,5.5,1
"lg","LCD (LED)","32.0",109,5.5,5
"lg","OLED","42.0",237.23076923076923,4.346153846153846,13
"lg","LCD (LED)","43.0",261.0625,3.9999999999999987,48
"lg","OLED","48.0",288.90000000000003,4.425000000000001,20
"lg","LCD (LED)","49.0",293.9193548387097,4.612903225806451,62
"lg","LCD (LED)","50.0",305,4.5,1
"lg","LCD (LED)","55.0",364.3013698630136,4.5684931506849304,73
"lg","OLED","55.0",361.0238095238096,4.511904761904763,42
"lg","LCD (LED)","65.0",480.5465116279072,4.674418604651163,86
"lg","OLED","65.0",448.48936170212767,4.98936170212766,47
"lg","LCD (LED)","70.0",560.75,4.625,4
"lg","LCD (LED)","75.0",584.076923076923,5.070512820512819,78
"lg","OLED","77.0",637.057142857143,4.985714285714286,35
"lg","LCD (LED)","82.0",773,4.5,1
"lg","OLED","83.0",708.7,5.074999999999998,20
"lg","LCD (LED)","86.0",819.6727272727276,4.718181818181817,55
"lg","OLED","88.0",1212.8,3,5
"lg","OLED","97.0",848.2857142857142,5.714285714285714,7
"lg","LCD (LED)","98.0",1260,4.1000000000000005,10
"linsar","LCD","24.0",67.5,6,2
"linsar","LCD","32.0",98.5,6,4
"linsar","LCD (LED)","32.0",102,6,1
"linsar","LCD","40.0",151,6,2
"linsar","LCD (LED)","40.0",144,6,1
"linsar","LCD","43.0",172,6,1
"linsar","LCD","49.0",222.5,6,2
"linsar","LCD (LED)","49.0",225,6,1
"linsar","LCD (LED)","50.0",210,6,1
"linsar","LCD","55.0",272,6,2
"linsar","LCD (LED)","55.0",256,6,1
"linsar","LCD","58.0",298,6,1
"linsar","LCD","60.0",309.5,6,2
"linsar","LCD","65.0",365,6,2
"linsar","LCD (LED)","65.0",359.5,6,2
"linsar","LCD (LED)","70.0",379.5,6,2
"linsar","LCD","74.0",480,6,1
"linsar","LCD (LED)","75.0",474.5,6,2
"linsar","LCD","82.0",628,5.5,2
"linsar","LCD (LED)","82.0",651,5.5,1
"linsar","LCD","85.0",605,6,2
"linsar","LCD","86.0",630,6,1
"linsar","LCD","98.0",823,6,1
"loewe","LCD (LED)","32.0",127,5,3
"loewe","LCD (LED)","42.0",243,4,3
"loewe","OLED","48.0",274,4.5,1
"loewe","LCD (LED)","49.0",251,5.5,1
"loewe","LCD (LED)","55.0",309,5,1
"loewe","OLED","55.0",354,4.5,1
"loewe","OLED","65.0",467.5,4.75,2
"loewe","OLED","76.0",395,7,1
"loewe","OLED","77.0",833,3.5,1
"lsp tv","LCD (LED)","19.0",60,5,1
"metz","LCD (LED)","32.0",115,5.5,1
"metz","LCD (LED)","40.0",122,7,1
"metz","OLED","55.0",424,4,1
"metz","OLED","65.0",586,4,1
"metz","LCD (LED)","86.0",893,4.5,1
"mitsumaru","LCD (LED)","32.0",131,5,1
"monster","LCD (LED)","24.0",66,6,1
"monster","LCD","32.0",90,6,1
"myvi","LCD","24.0",85,5,1
"myvi","LCD (LED)","24.0",90,4.75,2
"palsonic","LCD (LED)","39.0",175,5,1
"palsonic","LCD (LED)","55.0",300,5.5,1
"palsonic","LCD (LED)","65.0",439,5,1
"philips","LCD (LED)","19.0",61.333333333333336,5,3
"philips","LCD (LED)","23.0",65,6,1
"philips","LCD (LED)","24.0",69,5.5,1
"philips","LCD (LED)","32.0",132.9090909090909,4.818181818181818,11
"philips","LCD (LED)","40.0",167,5.5,1
"philips","LCD (LED)","42.0",248.54545454545453,4.2727272727272725,11
"philips","LCD","43.0",234,4.5,1
"philips","LCD (LED)","43.0",228.5,4.6875,8
"philips","LCD (LED)","48.0",175,7,1
"philips","LCD (LED)","49.0",304.1818181818182,4.454545454545454,11
"philips","LCD (LED)","50.0",325.42857142857144,4.285714285714286,7
"philips","LCD","55.0",280,5.5,1
"philips","LCD (LED)","55.0",388.4074074074075,4.3888888888888875,27
"philips","OLED","55.0",570.75,2.75,4
"philips","LCD (LED)","58.0",330.6666666666667,5.5,3
"philips","LCD (LED)","64.0",483,4.5,1
"philips","LCD","65.0",534.75,4.375,4
"philips","LCD (LED)","65.0",490.2272727272727,4.659090909090907,22
"philips","OLED","65.0",645.6666666666666,3.8333333333333335,3
"philips","LCD","70.0",516,5,1
"philips","LCD (LED)","70.0",574.2857142857143,4.571428571428571,7
"philips","LCD","75.0",478,6,3
"philips","LCD (LED)","75.0",600.0000000000001,4.8999999999999995,15
"philips","OLED","78.0",798,4,1
"philips","LCD (LED)","85.0",463,7,1
"philips","LCD (LED)","86.0",922.5,4.25,2
"polaroid","LCD (LED)","24.0",68,6,1
"polaroid","LCD","31.0",104,6,1
"polaroid","LCD","32.0",102.33333333333333,6,3
"polaroid","LCD (LED)","32.0",98,6,1
"polaroid","LCD","39.0",149,6,1
"polaroid","LCD","40.0",151,6,2
"polaroid","LCD (LED)","50.0",202,6,1
"polaroid","LCD","54.0",254,6,1
"polaroid","LCD","55.0",294,5.5,1
"polaroid","LCD (LED)","55.0",273,6,1
"polaroid","LCD","64.0",370,6,2
"polaroid","LCD (LED)","65.0",367,6,1
"polaroid","LCD","70.0",397,6,1
"prism+","LCD (LED)","55.0",349.3333333333333,4.833333333333333,3
"prism+","LCD (LED)","65.0",438.3333333333333,5.166666666666667,3
"prism+","LCD (LED)","75.0",625,4.75,2
"qbell","LCD (LED)","32.0",131,5,2
"qbell","LCD (LED)","40.0",189,5,1
"qbell","LCD (LED)","50.0",342,4,2
"qbell","LCD","55.0",339,5,1
"qbell","LCD (LED)","70.0",620,4,2
"s vision","LCD (LED)","55.0",379,4.5,1
"samsung","LCD (LED)","31.0",135.45454545454547,4.7272727272727275,11
"samsung","LCD (LED)","32.0",182,3.5,3
"samsung","LCD (LED)","39.0",218,4,1
"samsung","LCD (LED)","42.0",286.11111111111114,3.569444444444444,36
"samsung","LCD (LED)","43.0",275.5522388059702,3.783582089552239,67
"samsung","LCD (LED)","48.0",295,4.5,1
"samsung","LCD (LED)","49.0",329.60638297872345,4.164893617021276,94
"samsung","LCD (LED)","50.0",323.20000000000005,4.2,10
"samsung","LCD (LED)","55.0",423.6174863387977,3.9699453551912565,183
"samsung","LCD (LED)","57.0",344,5,9
"samsung","LCD (LED)","60.0",406.5,4.75,2
"samsung","LCD (LED)","64.0",678.4594594594595,3.378378378378378,37
"samsung","LCD (LED)","65.0",593.169398907104,3.904371584699453,183
"samsung","LCD (LED)","67.0",507,4.5,3
"samsung","LCD (LED)","69.0",496,5,3
"samsung","LCD (LED)","70.0",492,5,4
"samsung","LCD (LED)","75.0",753.8924731182799,4.051075268817203,186
"samsung","LCD (LED)","77.0",731.3636363636365,4.2727272727272725,11
"samsung","LCD (LED)","82.0",948.5,3.75,6
"samsung","LCD (LED)","83.0",722.2,4.9,5
"samsung","LCD (LED)","85.0",880.9407407407408,4.314814814814814,135
"samsung","LCD (LED)","98.0",1207.5333333333333,4.133333333333334,15
"seiki","LCD (LED)","65.0",496,4.5,1
"sharetv","LCD","21.0",106,3,1
"sharp","LCD (LED)","32.0",117.5,5.25,2
"sharp","LCD (LED)","42.0",187,5.25,2
"sharp","LCD (LED)","49.0",312,4.5,1
"sharp","LCD (LED)","60.0",489,4,2
"sharp","LCD (LED)","70.0",563.3333333333334,4.666666666666667,3
"shenzhen xinchaoda technology co., ltd","LCD (LED)","55.0",371.5,4.5,2
"shenzhen xinchaoda technology co., ltd","LCD (LED)","65.0",385.5,5.75,2
"signify","LCD (LED)","55.0",378,4.5,1
"skyworth","LCD (LED)","55.0",303,5.5,3
"skyworth","LCD (LED)","86.0",893,4.5,5
"smarttech","LCD (LED)","31.0",110,5.5,1
"smarttech","LCD (LED)","39.0",151,6,1
"smarttech","LCD (LED)","50.0",210,6,1
"smarttech","LCD (LED)","55.0",247,6,1
"smarttech","LCD (LED)","65.0",386,5.5,1
"smtv","LCD (LED)","42.0",188,5.5,1
"smtv","LCD (LED)","50.0",280,5,1
"smtv","LCD (LED)","55.0",347,4.5,2
"smtv","LCD (LED)","64.0",400,5.5,2
"soniq","LCD (LED)","24.0",86,5,1
"soniq","LCD","42.0",178,5.5,1
"soniq","LCD (LED)","42.0",193,5,1
"soniq","LCD","50.0",311,4.5,1
"soniq","LCD","55.0",476,3.5,1
"soniq","LCD","57.0",337,5,1
"soniq","LCD","65.0",483,4.666666666666667,3
"soniq","LCD","66.0",391,6,1
"soniq","LCD","75.0",855,3.5,1
"sony","LCD (LED)","32.0",120.5,5,2
"sony","LCD (LED)","42.0",267.8333333333333,3.8333333333333335,6
"sony","OLED","42.0",256,4,1
"sony","OLED","48.0",315,4,1
"sony","LCD (LED)","49.0",347.6,4,5
"sony","LCD (LED)","55.0",458.6666666666667,3.4666666666666663,15
"sony","OLED","55.0",404,3.9,5
"sony","LCD","65.0",642,3.5,1
"sony","LCD (LED)","65.0",579.4444444444446,3.7777777777777777,18
"sony","OLED","65.0",482.5,4.666666666666667,6
"sony","LCD","75.0",763,4,1
"sony","LCD (LED)","75.0",744.4,3.9,15
"sony","LCD (LED)","77.0",693,4.5,1
"sony","OLED","77.0",591.5,5.25,4
"sony","OLED","83.0",765,4.5,1
"sony","LCD","85.0",818,4.5,1
"sony","LCD (LED)","85.0",949.25,3.9583333333333335,12
"sony","LCD (LED)","98.0",944,5,1
"sphere","LCD (LED)","19.0",67,4.5,2
"sphere","LCD (LED)","22.0",93,4,3
"sphere","LCD (LED)","24.0",84.4,4.9,5
"sphere","LCD (LED)","27.0",92,5.5,3
"stan cash","LCD (LED)","18.0",60,5,1
"starvision","LCD (LED)","32.0",101,6,1
"starvision","LCD (LED)","39.0",175,5,1
"svision","LCD (LED)","32.0",151,4,1
"svision","LCD (LED)","43.0",159,6,1
"svision","LCD","50.0",315,4.5,1
"svision","LCD (LED)","50.0",288,4.5,1
"svision","LCD (LED)","58.0",420,4.5,1
"svision","LCD (LED)","64.0",520,4.5,1
"sylvox","LCD (LED)","16.0",57.333333333333336,4.5,3
"sylvox","LCD (LED)","21.0",68,5,1
"sylvox","LCD (LED)","24.0",66.16666666666667,5.916666666666667,12
"sylvox","LCD","27.0",59,7,1
"sylvox","LCD (LED)","32.0",102.41666666666667,5.916666666666667,12
"sylvox","LCD","40.0",92,8,1
"sylvox","LCD (LED)","43.0",397,2,1
"sylvox","LCD (LED)","55.0",651,2,1
"sylvox","LCD (LED)","65.0",902,2,1
"sylvox","LCD (LED)","75.0",1122,2,1
"tavice","LCD","65.0",477,4.5,1
"tcl","LCD (LED)","114.0",2652,2,1
"tcl","LCD (LED)","31.0",110,5.5,1
"tcl","LCD (LED)","39.0",180,5,1
"tcl","LCD (LED)","42.0",216.77777777777777,4.777777777777779,9
"tcl","LCD (LED)","49.0",278.1111111111111,5,9
"tcl","LCD (LED)","55.0",378.0625,4.500000000000001,16
"tcl","LCD (LED)","57.0",251,6,1
"tcl","LCD (LED)","64.0",526.4117647058823,4.470588235294118,17
"tcl","LCD (LED)","75.0",744.75,4.09375,16
"tcl","LCD (LED)","85.0",945.4285714285716,4.178571428571429,14
"tcl","LCD (LED)","97.0",1110.5,4.666666666666667,6
"teac","LCD","19.0",60,5,2
"teac","LCD","24.0",85,5,1
"teac","LCD (LED)","24.0",83,5,1
"teac","LCD (LED)","31.0",110,5.5,1
"teac","LCD","32.0",127,5,2
"teac","LCD (LED)","32.0",119.4,5.2,5
"teac","LCD","40.0",188,5,1
"teac","LCD","49.0",275,5,1
"teac","LCD (LED)","50.0",210,6,1
"teac","LCD (LED)","55.0",247,6,1
"teac","LCD","58.0",365,5,1
"teac","LCD","65.0",450,5,1
"teac","LCD (LED)","65.0",386,5.5,1
"teac","LCD (LED)","70.0",560,4.5,1
"teac","LCD","75.0",595,5,2
"teac","LCD (LED)","75.0",750,4,1
"teac","LCD","82.0",720,5,2
"teco","LCD (LED)","19.0",75,4,2
"teco","LCD (LED)","22.0",76,4.5,1
"teco","LCD (LED)","24.0",68.5,5.75,2
"teco","LCD (LED)","31.0",140,4.5,1
"teco","LCD (LED)","32.0",122.5,5.25,2
"teco","LCD (LED)","42.0",214,5,1
"teco","LCD (LED)","57.0",349,5,1
"teco","LCD (LED)","64.0",404,5.5,1
"teco","LCD (LED)","70.0",532,5,1
"telefunken","LCD","24.0",107,4,1
